ADM1_EN,ADM1ALT1EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,AREA_SQKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region I (Ilocos Region),Ilocos Region,PH01,Philippines (the),PH,2022-11-09,2023-11-06,,12307.35083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region II (Cagayan Valley),Cagayan Valley,PH02,Philippines (the),PH,2022-11-09,2023-11-06,,26387.72956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region III (Central Luzon),Central Luzon,PH03,Philippines (the),PH,2022-11-09,2023-11-06,,21304.15552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region IV-A (Calabarzon),Calabarzon,PH04,Philippines (the),PH,2022-11-09,2023-11-06,,15846.63056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region V (Bicol Region),Bicol Region,PH05,Philippines (the),PH,2022-11-09,2023-11-06,,17338.37553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region VI (Western Visayas),Western Visayas,PH06,Philippines (the),PH,2022-11-09,2023-11-06,,20047.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region VII (Central Visayas),Central Visayas,PH07,Philippines (the),PH,2022-11-09,2023-11-06,,14293.65785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region VIII (Eastern Visayas),Eastern Visayas,PH08,Philippines (the),PH,2022-11-09,2023-11-06,,20835.67513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region IX (Zamboanga Peninsula),Zamboanga Peninsula,PH09,Philippines (the),PH,2022-11-09,2023-11-06,,14596.05356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region X (Northern Mindanao),Northern Mindanao,PH10,Philippines (the),PH,2022-11-09,2023-11-06,,17489.28666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region XI (Davao Region),Davao Region,PH11,Philippines (the),PH,2022-11-09,2023-11-06,,18808.87797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region XII (Soccsksargen),Soccsksargen,PH12,Philippines (the),PH,2022-11-09,2023-11-06,,17361.05387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Capital Region (NCR),NCR,PH13,Philippines (the),PH,2022-11-09,2023-11-06,,598.539573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordillera Administrative Region (CAR),CAR,PH14,Philippines (the),PH,2022-11-09,2023-11-06,,18192.64405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region XIII (Caraga),Caraga,PH16,Philippines (the),PH,2022-11-09,2023-11-06,,18747.16576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimaropa Region,,PH17,Philippines (the),PH,2022-11-09,2023-11-06,,26797.81762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),BARMM,PH19,Philippines (the),PH,2022-11-09,2023-11-06,,13463.12372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
